"","provincia","cluster"
"1","genova",2
"2","imperia",2
"3","laspezia",2
"4","savona",2
"5","bergamo",2
"6","brescia",2
"7","como",2
"8","cremona",2
"9","lecco",2
"10","lodi",2
"11","mantova",2
"12","milano",2
"13","monzaedellabrianza",2
"14","pavia",2
"15","sondrio",2
"16","varese",2
"17","alessandria",2
"18","asti",2
"19","biella",2
"20","cuneo",2
"21","novara",2
"22","torino",2
"23","verbanocusioossola",2
"24","vercelli",2
"25","aosta",2
"26","bologna",2
"27","ferrara",2
"28","forlicesena",2
"29","modena",2
"30","parma",2
"31","piacenza",2
"32","ravenna",2
"33","reggionellemilia",2
"34","rimini",2
"35","gorizia",2
"36","pordenone",2
"37","trieste",2
"38","udine",2
"39","bolzano",2
"40","trento",2
"41","belluno",2
"42","padova",2
"43","rovigo",2
"44","treviso",2
"45","venezia",2
"46","verona",2
"47","vicenza",2
"48","frosinone",1
"49","latina",1
"50","rieti",2
"51","roma",2
"52","viterbo",2
"53","ancona",2
"54","ascolipiceno",2
"55","fermo",2
"56","macerata",2
"57","pesaroeurbino",2
"58","arezzo",2
"59","firenze",2
"60","grosseto",2
"61","livorno",2
"62","lucca",2
"63","massacarrara",2
"64","pisa",2
"65","pistoia",2
"66","prato",2
"67","siena",2
"68","perugia",2
"69","terni",2
"70","chieti",1
"71","laquila",1
"72","pescara",1
"73","teramo",2
"74","matera",1
"75","potenza",1
"76","catanzaro",1
"77","cosenza",1
"78","crotone",1
"79","reggiocalabria",1
"80","vibovalentia",1
"81","avellino",1
"82","benevento",1
"83","caserta",1
"84","napoli",1
"85","salerno",1
"86","campobasso",1
"87","isernia",1
"88","bari",1
"89","barlettaandriatrani",1
"90","brindisi",1
"91","foggia",1
"92","lecce",1
"93","taranto",1
"94","cagliari",1
"95","nuoro",1
"96","oristano",1
"97","sassari",1
"98","sudsardegna",1
"99","agrigento",1
"100","caltanissetta",1
"101","catania",1
"102","enna",1
"103","messina",1
"104","palermo",1
"105","ragusa",1
"106","siracusa",1
"107","trapani",1
